Año(aaaa)-Trimestre(t);Orden del país; País;Unidad multiplicadora;Moneda (USD);Valor
2007-4;60;Noruega;Millones;Dólar estadounidense;6,904094974
2007-4;61;Nueva Zelanda;Millones;Dólar estadounidense;0
2007-4;62;Países Bajos;Millones;Dólar estadounidense;36,24703299
2007-4;63;Panamá;Millones;Dólar estadounidense;260,400675
2007-4;64;Paraguay;Millones;Dólar estadounidense;0,009955
2007-4;65;Perú;Millones;Dólar estadounidense;4,969525944
2007-4;66;Portugal;Millones;Dólar estadounidense;-4,556103625
2007-4;67;Puerto Rico;Millones;Dólar estadounidense;0
2007-4;69;República Dominicana;Millones;Dólar estadounidense;0,190333328
2007-4;70;Singapur;Millones;Dólar estadounidense;0
2007-4;71;Sri Lanka;Millones;Dólar estadounidense;0
2007-4;72;Suecia;Millones;Dólar estadounidense;4,414951062
2007-4;73;Suiza;Millones;Dólar estadounidense;32,64428056
2007-4;74;Sudáfrica;Millones;Dólar estadounidense;0
2007-4;75;Tailandia;Millones;Dólar estadounidense;0
2007-4;76;Taiwán;Millones;Dólar estadounidense;0,6
2007-4;77;Ucrania;Millones;Dólar estadounidense;-0,00647088
2007-4;78;Uruguay;Millones;Dólar estadounidense;0,340433706
2007-4;79;Venezuela;Millones;Dólar estadounidense;10,85635637
2007-4;81;Otros Países;Millones;Dólar estadounidense;-2,295779694
2007-4;82;Total paises;Millones;Dólar estadounidense;2305,017702
2008-1;1;Afganistán;Millones;Dólar estadounidense;0
2008-1;2;Albania;Millones;Dólar estadounidense;0
2008-1;3;Alemania;Millones;Dólar estadounidense;45,60697609
2008-1;4;Anguilla;Millones;Dólar estadounidense;372,7724755
2008-1;5;Antillas Holandesas;Millones;Dólar estadounidense;0,494731953
2008-1;6;Argentina;Millones;Dólar estadounidense;1,854096293
2008-1;7;Aruba;Millones;Dólar estadounidense;-0,155377849
2008-1;8;Australia;Millones;Dólar estadounidense;0,163961285
2008-1;9;Austria;Millones;Dólar estadounidense;0,909145332
2008-1;10;Bahamas;Millones;Dólar estadounidense;10,18447615
2008-1;11;Barbados;Millones;Dólar estadounidense;16,16818999
2008-1;12;Bélgica;Millones;Dólar estadounidense;0,119787855
2008-1;13;Belice;Millones;Dólar estadounidense;0,103511
2008-1;14;Bermudas;Millones;Dólar estadounidense;77,57305481
2008-1;15;Bolivia;Millones;Dólar estadounidense;5,301952066
2008-1;16;Brasil;Millones;Dólar estadounidense;22,70639273
2008-1;17;Canadá;Millones;Dólar estadounidense;32,1502868
2008-1;18;Chile;Millones;Dólar estadounidense;27,1079289
2008-1;19;China;Millones;Dólar estadounidense;-1,903101347
2008-1;20;Corea del Sur;Millones;Dólar estadounidense;-0,580718757
2008-1;21;Chipre;Millones;Dólar estadounidense;0
2008-1;22;Costa Rica;Millones;Dólar estadounidense;0,422396835
2008-1;23;Cuba;Millones;Dólar estadounidense;0
2008-1;24;Curazao;Millones;Dólar estadounidense;0,345198206
2008-1;25;Dinamarca;Millones;Dólar estadounidense;0,317452699
2008-1;26;Ecuador;Millones;Dólar estadounidense;1,454072804
2008-1;27;El Salvador;Millones;Dólar estadounidense;0,002241
2008-1;28;Escocia;Millones;Dólar estadounidense;0
2008-1;29;España;Millones;Dólar estadounidense;337,0891734
2008-1;30;Estados Unidos;Millones;Dólar estadounidense;660,5025286
2008-1;31;Finlandia;Millones;Dólar estadounidense;0,001101
2008-1;32;Francia;Millones;Dólar estadounidense;89,65954014
2008-1;33;Gibraltar;Millones;Dólar estadounidense;0
2008-1;34;Grecia;Millones;Dólar estadounidense;2,392487
2008-1;35;Guatemala;Millones;Dólar estadounidense;0,047241
2008-1;36;Honduras;Millones;Dólar estadounidense;0,05
2008-1;37;Hong Kong;Millones;Dólar estadounidense;0,2105
